»’∆⁄,◊Ó∏ﬂ∆¯Œ¬,◊ÓµÕ∆¯Œ¬,ÃÏ∆¯
2024-01-01,7,-3,∂‡‘∆
2024-01-02,11,-2,∂‡‘∆~«Á
2024-01-03,10,-2,«Á
2024-01-04,12,-1,«Á~∂‡‘∆
2024-01-05,6,-3,“ı~«Á
2024-01-06,5,-4,∂‡‘∆~«Á
2024-01-07,5,-3,«Á
2024-01-08,7,-2,∂‡‘∆
2024-01-09,3,-4,∂‡‘∆~«Á
2024-01-10,9,-2,∂‡‘∆~«Á
2024-02-01,-2,-6,“ı~∂‡‘∆
2024-02-02,-1,-3,“ı~–°—©
2024-02-03,0,-3,∂‡‘∆~“ı
2024-02-04,0,-6,“ı~«Á
2024-02-05,2,-4,∂‡‘∆~“ı
2024-02-06,3,-3,∂‡‘∆
2024-02-07,5,-3,∂‡‘∆~“ı
2024-02-08,7,-2,∂‡‘∆~«Á
2024-02-09,14,-1,∂‡‘∆
2024-02-10,9,0,∂‡‘∆~«Á
2024-03-01,7,0,∂‡‘∆~«Á
2024-03-02,14,-1,«Á
2024-03-03,14,2,“ı
2024-03-04,5,4,∂‡‘∆~“ı
2024-03-05,6,2,∂‡‘∆~–°”Í
2024-03-06,8,0,∂‡‘∆
2024-03-07,15,-1,∂‡‘∆~«Á
2024-03-08,12,0,«Á
2024-03-09,16,1,«Á
2024-03-10,18,4,“ı~∂‡‘∆
2024-04-01,20,10,∂‡‘∆~“ı
2024-04-02,17,11,∂‡‘∆~“ı
2024-04-03,12,4,“ı
2024-04-04,16,6,“ı
2024-04-05,21,8,“ı~∂‡‘∆
2024-04-06,24,10,∂‡‘∆~“ı
2024-04-07,24,11,“ı
2024-04-08,28,11,«Á~∂‡‘∆
2024-04-09,18,10,«Á~“ı
2024-04-10,22,11,∂‡‘∆~«Á
2024-05-01,24,11,«Á~∂‡‘∆
2024-05-02,25,13,∂‡‘∆
2024-05-03,25,16,“ı~–°”Í
2024-05-04,19,10,“ı~∂‡‘∆
2024-05-05,22,13,“ı~∂‡‘∆
2024-05-06,25,12,∂‡‘∆~–°”Í
2024-05-07,27,13,«Á
2024-05-08,28,17,∂‡‘∆~“ı
2024-05-09,29,18,«Á
2024-05-10,31,18,∂‡‘∆
2024-06-01,32,22,“ı
2024-06-02,33,19,“ı~«Á
2024-06-03,33,21,∂‡‘∆~“ı
2024-06-04,30,22,“ı
2024-06-05,27,18,“ı~∂‡‘∆
2024-06-06,29,22,“ı
2024-06-07,30,19,∂‡‘∆
2024-06-08,33,20,“ı~∂‡‘∆
2024-06-09,36,21,“ı~«Á
2024-06-10,37,25,∂‡‘∆~“ı
2024-07-01,25,21,÷–”Í~¥Û”Í
2024-07-02,23,19,÷–”Í~∂‡‘∆
2024-07-03,30,23,“ı
2024-07-04,31,21,“ı
2024-07-05,27,20,¥Û”Í~«Á
2024-07-06,31,22,“ı
2024-07-07,31,24,“ı~–°”Í
2024-07-08,27,22,–°”Í~“ı
2024-07-09,30,22,“ı~«Á
2024-07-10,31,22,“ı~∂‡‘∆
2024-08-01,34,25,“ı~«Á
2024-08-02,32,25,ŒÌ~∂‡‘∆
2024-08-03,34,26,“ı~–°”Í
2024-08-04,34,25,÷–”Í
2024-08-05,32,25,ŒÌ~÷–”Í
2024-08-06,33,24,“ı~–°”Í
2024-08-07,30,24,÷–”Í~–°”Í
2024-08-08,30,24,“ı~÷–”Í
2024-08-09,29,24,–°”Í
2024-08-10,36,23,“ı~«Á
2024-09-01,34,23,“ı
2024-09-02,26,20,“ı~∂‡‘∆
2024-09-03,29,22,∂‡‘∆
2024-09-04,34,24,«Á~∂‡‘∆
2024-09-05,28,20,“ı~«Á
2024-09-06,29,20,«Á
2024-09-07,31,21,“ı~–°”Í
2024-09-08,29,23,“ı~–°”Í
2024-09-09,34,21,ŒÌ~÷–”Í
2024-09-10,24,20,“ı
2024-10-01,23,10,«Á
2024-10-02,20,7,«Á
2024-10-03,23,10,«Á
2024-10-04,23,14,∂‡‘∆
2024-10-05,23,14,“ı
2024-10-06,23,15,“ı
2024-10-07,19,12,∂‡‘∆~«Á
2024-10-08,22,14,∂‡‘∆
2024-10-09,27,15,∂‡‘∆
2024-10-10,23,11,∂‡‘∆~«Á
2024-11-01,18,9,“ı~∂‡‘∆
2024-11-02,22,9,ŒÌ~«Á
2024-11-03,24,6,∂‡‘∆
2024-11-04,11,3,∂‡‘∆~“ı
2024-11-05,16,4,«Á
2024-11-06,17,7,«Á
2024-11-07,19,9,«Á~∂‡‘∆
2024-11-08,16,9,“ı
2024-11-09,18,9,“ı~«Á
2024-11-10,16,10,∂‡‘∆
2024-12-01,17,4,«·∂»ŒÌˆ≤
2024-12-02,9,5,«Á◊™∂‡‘∆
